Title	basic	steens	anders	basicsteens	basicanders	
"400.perlbench"	88.8	95.7	0	88.4	0
"401.bzip2"	92.6	93.2	92.9	92.4	92.3
"403.gcc"	95.4	98.4	0	95.2	0
"429.mcf"	83.4	92.9	86.3	83.4	83.3
"433.milc"	75.9	79.5	78.4	72.2	72.2
"444.namd"	49.0	44.9	41.3	38.6	38.2
"445.gobmk"	63.9	71.2	70.2	58.6	58.2
"447.dealII"	23.5	44.6	44.4	20.1	20.0
"450.soplex"	65.4	84.4	82.7	63.1	63.1
"453.povray"	70.7	77.6	75.4	66.2	65.9
"456.hmmer"	88.4	66.4	56.8	63.0	54.0
"458.sjeng"	26.3	76.0	75.8	25.6	25.6
"462.libquantum"	48.8	51.6	51.4	45.6	45.6
"464.h264ref"	81.3	82.6	82.0	78.2	78.1
"470.lbm"	90.7	88.8	88.7	87.6	87.6
"471.omnetpp"	88.3	60.6	57.9	53.5	50.9
"473.astar"	50.2	65.8	63.8	46.3	45.7
"482.sphinx3"	79.1	74.0	67.6	66.6	61.0
"483.xalancbmk"	67.7	75.2	73.1	61.4	60.9
