Title	basic	steens	anders	basicsteens	basicanders	
"400.perlbench"	83.7	88.4	0	83.5	0
"401.bzip2"	58.1	97.9	97.9	58.1	58.1
"403.gcc"	90.1	95.2	0	90.0	0
"429.mcf"	77.0	99.6	98.1	77.0	77.0
"433.milc"	44.0	86.9	86.5	41.1	41.1
"444.namd"	71.3	72.0	71.7	57.2	57.2
"445.gobmk"	19.5	75.3	74.1	19.1	18.9
"447.dealII"	19.5	44.4	44.3	16.3	16.2
"450.soplex"	67.7	95.1	95.0	65.7	65.6
"453.povray"	45.2	81.0	79.4	44.2	44.2
"456.hmmer"	88.3	69.3	68.4	59.9	59.3
"458.sjeng"	17.3	82.4	82.4	17.2	17.2
"462.libquantum"	44.4	53.0	52.8	42.7	42.7
"464.h264ref"	82.5	85.3	85.2	79.9	79.9
"470.lbm"	16.5	98.4	98.3	16.5	16.5
"471.omnetpp"	80.7	56.9	51.0	41.3	35.7
"473.astar"	47.0	83.6	82.8	45.2	44.5
"482.sphinx3"	76.9	81.7	78.3	64.4	60.1
"483.xalancbmk"	73.4	86.4	85.5	66.4	65.8
