Title	basic	steens	anders	basicsteens	basicanders	
"400.perlbench"	24.60	3.96	1806.87	30.50	0
"401.bzip2"	2.88	0.32	11.98	3.21	15.20
"403.gcc"	195.07	23.82	0	227.85	0
"429.mcf"	0.09	0.02	0.19	0.09	0.16
"433.milc"	0.97	0.16	0.40	1.15	1.27
"444.namd"	8.23	1.06	1.75	7.68	8.73
"445.gobmk"	5.27	1.23	3.05	5.13	7.63
"447.dealII"	25.70	5.21	11.42	26.53	33.37
"450.soplex"	1.84	0.43	1.12	2.40	2.64
"453.povray"	6.45	1.16	2.80	7.03	8.36
"456.hmmer"	2.56	0.45	0.92	2.78	3.32
"458.sjeng"	0.40	0.10	0.13	0.40	0.43
"462.libquantum"	0.17	0.03	0.06	0.17	0.22
"464.h264ref"	15.46	1.70	7.28	18.26	22.44
"470.lbm"	0.09	0.02	0.05	0.10	0.13
"471.omnetpp"	20.18	2.74	19.57	24.33	39.49
"473.astar"	0.15	0.04	0.06	0.15	0.17
"482.sphinx3"	1.11	0.23	0.56	1.27	1.53
"483.xalancbmk"	12.96	4.98	7.87	13.80	18.14
