Title	basic	steens	anders	basicsteens	basicanders	
"400.perlbench"	16.40	3.24	0	19.01	0
"401.bzip2"	1.53	0.20	7.69	1.67	8.84
"403.gcc"	137.64	15.05	0	152.67	0
"429.mcf"	0.07	0.01	0.05	0.05	0.09
"433.milc"	0.76	0.13	0.27	0.82	0.96
"444.namd"	4.77	0.55	0.77	4.87	6.51
"445.gobmk"	2.99	0.99	1.65	3.04	4.18
"447.dealII"	22.77	4.68	10.51	23.92	28.82
"450.soplex"	1.52	0.36	0.88	1.64	2.17
"453.povray"	4.11	0.91	1.62	4.39	5.15
"456.hmmer"	1.86	0.33	0.77	2.03	2.58
"458.sjeng"	0.36	0.10	0.12	0.38	0.42
"462.libquantum"	0.13	0.03	0.05	0.14	0.15
"464.h264ref"	14.33	1.55	6.60	16.10	21.04
"470.lbm"	0.04	0.01	0.02	0.04	0.05
"471.omnetpp"	20.62	2.43	11.54	24.19	31.77
"473.astar"	0.11	0.04	0.05	0.12	0.14
"482.sphinx3"	0.74	0.16	0.32	0.82	0.98
"483.xalancbmk"	10.48	4.15	6.30	11.15	15.47
